,id,views,engagements,comments,date,title
0,/watch?v=XY-mbr-aAZE,86332,6800,677,2022-07-29T00:00:00,Why Pure Information Gives Off Heat
1,/watch?v=mgXSevZmjPc,104030,7100,362,2022-06-30T00:00:00,The Fourier Series and Fourier Transform Demystified
2,/watch?v=V5uVKZn3F_4,276192,17000,1326,2022-03-30T00:00:00,"How to prove you know a secret, without revealing what it is"
3,/watch?v=zrFzSwHxiBQ,466468,24000,2495,2022-03-11T00:00:00,Why Time Actually Flows Both Ways
4,/watch?v=JUwpOWOg0fk,321093,19000,2000,2021-12-17T00:00:00,This Paradox Proves Einstein's Special Relativity
5,/watch?v=spNP7bq2NAg,47551,2700,305,2021-10-21T00:00:00,UP AND ATOM MERCHANDISE
6,/watch?v=3WVpOXUXNXQ,338881,15000,2495,2021-09-24T00:00:00,"This Object has Infinite Surface Area, but Finite Volume"
7,/watch?v=FDXf1XxCXAk,299660,16000,1680,2021-07-28T00:00:00,Berry's Paradox - An Algorithm For Truth
8,/watch?v=hwUVOIRAiFE,70900,5600,635,2021-04-28T00:00:00,The Faint Young Sun Paradox
9,/watch?v=34FNWQ9trY8,266920,12000,2371,2021-03-08T00:00:00,An Infinity Paradox - How Many Balls Are In The Vase?
10,/watch?v=2MCt3AxCL6I,338766,17000,1815,2021-02-05T00:00:00,The Dark Sky Paradox - A Never-Ending Universe
11,/watch?v=EbHqtENNnSY,685293,29000,2360,2020-12-10T00:00:00,3 Paradoxes That Gave Us Calculus
12,/watch?v=5jBVYvHeG2c,151144,9000,707,2020-11-02T00:00:00,Brownian Motion - The Physics of Randomness
13,/watch?v=0wAYZcqSS60,236834,15000,1423,2020-08-06T00:00:00,The Physics of Self-Replication and Nanotechnology
14,/watch?v=mrVg9GM5h7Q,1992291,63000,5510,2020-06-11T00:00:00,Aristotle's Wheel Paradox - To Infinity and Beyond
15,/watch?v=JS40jPaogM4,708855,27000,3207,2020-04-18T00:00:00,Why We Might Use Different Numbers in the Future
16,/watch?v=uKVQERi83lM,70330,4000,349,2020-03-20T00:00:00,How to Predict the Spread of Epidemics | Computational Social Networks
17,/watch?v=BMvgOjGPXyw,512825,24000,4666,2020-03-16T00:00:00,An Argument Against Reality - Why You Can't Trust Your Senses
18,/watch?v=NW7VUFgwqg8,80190,4200,438,2020-03-13T00:00:00,Quantum Biology [Part 3] - How Birds (Might) Navigate With Quantum Mechanics
19,/watch?v=Zc9Xk99gCr4,149245,8200,611,2020-02-17T00:00:00,Quantum Biology [Part 1] - How Plants Use Quantum Mechanics
20,/watch?v=PLVCscCY4xI,257680,10000,732,2020-02-04T00:00:00,Turing Machines - How Computer Science Was Created By Accident
21,/watch?v=qv7GTlbJ12o,34700,1100,181,2020-01-31T00:00:00,January Livestream
22,/watch?v=EHp4FPyajKQ,782689,29000,2527,2020-01-21T00:00:00,P vs. NP - The Biggest Unsolved Problem in Computer Science
23,/watch?v=EmNQuK-E0kI,193021,8800,1124,2019-12-12T00:00:00,"What is The Quantum Wave Function, Exactly?"
24,/watch?v=wj8J44OChV8,353435,11000,1054,2019-12-06T00:00:00,Can You Solve This Astronomical Riddle?
25,/watch?v=7-JMi_2pt2Q,70085,4200,789,2019-11-21T00:00:00,Your *Personal* Guide To The MULTIVERSE🚀✨
26,/watch?v=eF2v9oSy70I,118866,5900,1052,2019-10-16T00:00:00,The Anthropic Principle - How Your Existence Could Lead to a Multiverse
27,/watch?v=xohTALPH4e0,54230,3100,402,2019-08-02T00:00:00,The Conservation of Momentum Explained Simply
28,/watch?v=9UfQb_-XAuY,259856,10000,1451,2019-07-21T00:00:00,Boltzmann Brains - Why The Universe is Most Likely a Simulation
29,/watch?v=hcfVRkC3Dp0,167423,7400,1193,2019-07-08T00:00:00,"Moravec's Paradox - Why are machines so smart, yet so dumb?"
